,SUM_RAIN_FALL(mm),SUM_SNOW_FALL(cm),TEMP(deg C)_MEAN,RH(%)_MEAN,WD_SPD(m/s)_MEAN,VIS(10m)_MEAN,DP_TEMP(deg C)_MEAN,SOL_RAD(MJ/m2)_MEAN,RAIN_FALL(mm)_MEAN,SNOW_FALL(cm)_MEAN,SUM_RBC,SEASONS_Spring,SEASONS_Summer,SEASONS_Autumn,HOLIDAY_Holiday,DAY_TYPE_WKEND
1,-0.321659674,-0.234259772,1.092102812,0.187910008,-0.844248034,0.852520895,0.986788034,0.968175584,-0.321659674,-0.234259772,26010,0,0,1,0,1
2,-0.321659674,-0.234259772,1.051795517,-0.255664849,-0.361632066,1.170001142,0.84678056,0.880414355,-0.321659674,-0.234259772,26881,0,0,1,0,1
3,-0.321659674,-0.234259772,0.902082705,0.880995723,0.719155808,0.065863063,1.019122324,1.050697336,-0.321659674,-0.234259772,29529,0,0,1,0,0
4,-0.321659674,-0.234259772,0.952466824,0.226722808,1.269745857,1.088304826,0.887198422,1.158106602,-0.321659674,-0.234259772,31114,0,0,1,0,0
5,-0.321659674,-0.234259772,0.988095595,0.825548866,0.277324287,0.434905039,1.106101563,-0.339073768,-0.321659674,-0.234259772,27838,0,0,1,0,0
6,-0.196581679,-0.234259772,0.807432538,-0.100413649,1.228961409,0.872240695,0.67023534,0.780864304,-0.196581679,-0.234259772,30381,0,0,1,0,0
7,-0.321659674,-0.234259772,0.767125242,-0.646565192,-0.096533153,1.145586151,0.449715485,1.196092805,-0.321659674,-0.234259772,29813,0,0,1,0,1
8,-0.321659674,-0.234259772,0.790157983,-0.593890678,-0.803463586,1.176403674,0.485283203,1.019260478,-0.321659674,-0.234259772,28354,0,0,1,0,1
9,-0.321659674,-0.234259772,0.875451099,-0.552305535,-0.266468354,1.175976839,0.59327973,0.8149209,-0.321659674,-0.234259772,30781,0,0,1,0,0
10,-0.321659674,-0.234259772,0.839462442,-0.430322449,-0.660718018,1.159244887,0.613003647,0.8869637,-0.321659674,-0.234259772,31809,0,0,1,0,0
11,-0.321659674,-0.234259772,0.918277601,0.259990923,-0.817058402,1.153952127,0.90142551,-0.090198641,-0.321659674,-0.234259772,30991,0,0,1,0,0
12,-0.304982608,-0.234259772,0.898483839,1.163774695,-1.197713251,1.082499864,1.13035228,-0.809316772,-0.304982608,-0.234259772,25079,0,0,1,0,1
13,-0.154889014,-0.234259772,0.823267547,1.632300638,0.032617599,-1.417304941,1.174650256,-0.940303681,-0.154889014,-0.234259772,14178,0,0,1,0,1
14,-0.321659674,-0.234259772,0.780800932,0.085333323,-0.647123202,0.811630054,0.702246286,0.292283133,-0.321659674,-0.234259772,0,0,0,1,0,0
15,-0.304982608,-0.234259772,0.81139129,0.090878008,-1.265687331,0.627407851,0.743634177,-0.387538925,-0.304982608,-0.234259772,0,0,0,1,0,0
16,0.095266976,-0.234259772,0.538957159,1.452098352,0.025820191,-0.071919437,0.882024936,-1.249432786,0.095266976,-0.234259772,14282,0,0,1,0,0
17,1.179276267,-0.234259772,0.566308538,1.806958239,-0.640325794,0.550918929,0.988728092,-0.957331979,1.179276267,-0.234259772,18266,0,0,1,0,0
18,0.220344971,-0.234259772,0.708103845,0.33484418,0.012225375,0.262975698,0.668295282,0.712751111,0.220344971,-0.234259772,26398,0,0,1,0,1
19,-0.321659674,-0.234259772,0.57026729,-0.236258449,-0.212089089,1.158135115,0.424818082,0.150817271,-0.321659674,-0.234259772,20060,0,0,1,1,1
20,-0.321659674,-0.234259772,0.432790621,-0.726963135,0.698763584,1.177428079,0.14318642,0.961626238,-0.321659674,-0.234259772,17259,0,0,1,1,0
21,-0.321659674,-0.234259772,0.404359583,-0.641020507,-1.020980643,1.178537852,0.134779505,0.860766318,-0.321659674,-0.234259772,23350,0,0,1,1,0
22,-0.321659674,-0.234259772,0.516644192,-0.749141878,-0.796666178,1.181098865,0.224345487,0.607961584,-0.321659674,-0.234259772,30789,0,0,1,0,0
23,-0.321659674,-0.234259772,0.407238675,-0.07269022,-0.701502466,1.180842763,0.37437659,-0.636414052,-0.321659674,-0.234259772,0,0,0,1,0,0
24,-0.321659674,-0.234259772,0.627489254,-0.197445649,-1.143333987,1.178623219,0.472996173,0.753357053,-0.321659674,-0.234259772,31447,0,0,1,0,1
25,-0.321659674,-0.234259772,0.441068012,-0.305567021,0.488043935,1.03520649,0.278667093,0.436368733,-0.321659674,-0.234259772,0,0,0,1,0,1
26,-0.321659674,-0.234259772,0.226935505,-0.275071249,1.793146273,1.152586253,0.15321005,0.194042951,-0.321659674,-0.234259772,27909,0,0,1,0,0
27,-0.321659674,-0.234259772,0.25680609,0.16018658,-0.157709825,0.861996643,0.274140293,0.683933991,-0.321659674,-0.234259772,0,0,0,1,0,0
